Facility Name,Facility Type,Thermal capacity (MWth),Reference Unit Power (MWe),Thermal efficiency % ,T Gaseous Release in 2021 (Ci),T Liquid Release in 2021 (Ci),T Gaseous Release in 2020 (Ci),T Liquid Release in 2020 (Ci),T Gaseous Release in 2019 (Ci),T Liquid Release in 2019 (Ci),T Gaseous Release in 2018 (Ci),T Liquid Release in 2018 (Ci),T Gaseous Release in 2017 (Ci),T Liquid Release in 2017 (Ci),T Gaseous Release in 2016 (Ci),T Liquid Release in 2016 (Ci),2021 Generation (MWh),2020 Generation (MWh),2019 Generation (MWh),2018 Generation (MWh),2017 Generation (MWh),2016 Generation (MWh),First Grid Connection,State,Model,Containment Types,Reactor Type,BWR Type,Number of Loops,Mark,Freshwater (F) or saltwater (S)? ,nickname,Plant ID,Cooling Type,Add in flow basis stuff
LaSalle 2,BWR,3546,1141,32.17710096,49.9,0,43.2,0,35.8,0,18.2,0,8.77,0,11.6,0,8412208,10159798,9408439,10024137,9052137,9704753,1984,IL,BWR-5 (Mark 2),N/A,BWR-5,5,N/A,2,F,LS2,80,RC,
Limerick 1,BWR,3515,1134,32.26173542,9.54,8.4,16.3,1.77,43.2,6.42,9.5,3.32,22.8,10.5,12.9,2.46,10050781,9133195,10084182,9181855,9992846,9268569,1985,PA,BWR-4 (Mark 2),N/A,BWR-4,4,N/A,2,F,LM1,81,RN,
Limerick 2,BWR,3515,1134,32.26173542,9.54,8.4,16.3,1.77,43.2,6.42,9.5,3.32,22.8,10.5,12.9,2.46,9258265,10211569,9261412,10156771,8560111,10126806,1989,PA,BWR-4 (Mark 2),N/A,BWR-4,4,N/A,2,F,LM2,82,RN,
Monticello,BWR,2004,628,31.33732535,21.4,5.96E-05,16.8,0,14,0,26.6,0,14.9,0.000284,16.5,0.000284,5022858,5593314,4964575,5618024,5159620,5597758,1971,MN,BWR-3,N/A,BWR-3,3,N/A,1,F,MO1,83,ON/OT,
Nine Mile Point 1,BWR,1850,613,33.13513514,28.8,0,29.6,0,16.1,0,24.7,2.50E-06,64.6,0,250,0,5037579,5473000,4604183,5277940,4885129,5383492,1969,NY,BWR-2 (Mark 1),N/A,BWR-2,2,N/A,1,F,NM1,84,ON/RN,
Nine Mile Point 2,BWR,3988,1277,32.02106319,117,0,88.1,0,158,0,115,0,147,0,83.6,0,11155916,10167608,11217193,10104890,11107751,10116880,1987,NY,BWR-5 (Mark 2),N/A,BWR-5,5,N/A,2,F,NM2,85,ON/RN,
Peach Bottom 2,BWR,3951,1300,32.90306252,71,5.79,41.1,4.37,37.2,0.0458,34.7,3.9,18.3,3.43,16.9,3.24,11439087,10211819,11533439,10788451,11310279,10473991,1974,PA,BWR-4 (Mark 1),N/A,BWR-4,4,N/A,1,F,PH2,86,ON/HT,
Peach Bottom 3,BWR,3951,1331,33.68767401,71,5.79,41.1,4.37,37.2,0.0458,34.7,3.9,18.3,3.43,16.9,3.24,10829157,11580515,10760946,10891665,10412264,11401444,1974,PA,BWR-4 (Mark 1),N/A,BWR-4,4,N/A,1,F,PH3,87,ON/HT,
Perry,BWR,3758,1240,32.99627461,8.3,5.04,18.2,0.00899,1.38,22.2,3.11,0.0243,2.86,8.39,7.55,10.3,9703868,10990962,9173102,10934736,9812376,10423250,1986,OH,BWR-6 (Mark 3),N/A,BWR-6,6,N/A,3,F,PE1,88,RN,
Quad Cities 1,BWR,2957,908,30.70679743,38.6,1.83,41.6,0.353,43.5,0.0797,38.7,4.09,43,0,46.8,0,7635531,8075967,7421057,8051911,7498153,8104186,1972,IL,BWR-3 (Mark 1),N/A,BWR-3,3,N/A,1,F,QC1,89,ON,
Quad Cities 2,BWR,2957,911,30.80825161,38.6,1.83,41.6,0.353,43.5,0.0797,38.7,4.09,43,0,46.8,0,8104797,7636478,8065051,7424547,7903714,7550909,1972,IL,BWR-3 (Mark 1),N/A,BWR-3,3,N/A,1,F,QC2,90,ON,
River Bend,BWR,3091,967,31.28437399,6.11,36,17.3,50.8,22.1,56.7,18.2,61,8.23,66.1,17.9,78.7,7441875,7988370,6420933,6999996,7032282,7055069,1985,LA,BWR-6 (Mark 3),N/A,BWR-6,6,N/A,3,F,RV1,91,RI,
Susquehanna 1,BWR,3952,1257,31.80668016,30.1,15.8,70,15.9,90.1,15.7,36.8,15.3,36,6.49,0,19.1,10664952,9332238,11072672,9558527,10990505,8724976,1982,PA,BWR-4 (Mark 2),N/A,BWR-4,4,N/A,2,F,SN1,92,RN,
Susquehanna 2,BWR,3952,1257,31.80668016,30.1,15.8,70,15.9,90.1,15.7,36.8,15.3,36,6.49,0,19.1,9278594,10658665,9846335,10910195,9762060,10625999,1984,PA,BWR-4 (Mark 2),N/A,BWR-4,4,N/A,2,F,SN2,93,RN,
